family,n,total_empty,state,current_gap_m,current_gap_left,current_gap_right,current_pos,child_gap_count,child_gaps,best_response_gap_m,best_response_gap_left,best_response_gap_right,best_response_pos,best_response_edge_distance,winning_response_count,response_child_gap_count,response_child_gaps
WO_MO,15,30,"15:0:2 15:1:2",15,1,2,10,3,"4:1:2 10:2:2 15:0:1",4,1,2,2,1,3,4,"1:1:2 2:2:2 10:1:1 15:0:2"
WO_MO,15,30,"15:0:2 15:1:2",15,1,2,11,3,"3:1:2 11:2:2 15:0:1",15,0,1,2,2,5,4,"2:0:2 3:1:2 11:1:1 12:2:2"
WO_MO,15,30,"15:0:2 15:1:2",15,1,2,12,3,"2:1:2 12:2:2 15:0:1",12,2,2,2,2,3,4,"2:1:2 2:1:2 9:1:2 15:0:2"
WO_MO,15,30,"15:0:2 15:1:2",15,1,2,13,3,"1:1:2 13:2:2 15:0:1",15,0,1,1,1,2,4,"1:0:2 1:1:2 13:1:1 13:2:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,0,2,"14:1:2 16:0:1",16,0,1,15,0,27,2,"14:1:2 15:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,1,3,"1:2:2 13:1:2 16:0:1",13,1,2,11,1,21,4,"1:1:1 1:1:2 11:2:2 16:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,2,3,"2:2:2 12:1:2 16:0:1",12,1,2,2,2,2,4,"2:1:1 2:2:2 9:1:2 16:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,3,3,"3:2:2 11:1:2 16:0:1",11,1,2,9,1,19,4,"1:1:2 3:1:1 9:2:2 16:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,4,3,"4:2:2 10:1:2 16:0:1",10,1,2,8,1,9,4,"1:1:2 4:1:1 8:2:2 16:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,5,3,"5:2:2 9:1:2 16:0:1",5,2,2,2,2,5,4,"2:1:2 2:1:2 9:1:2 16:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,6,3,"6:2:2 8:1:2 16:0:1",6,2,2,2,2,9,4,"2:1:2 3:1:2 8:1:2 16:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,7,3,"7:1:2 7:2:2 16:0:1",7,1,2,5,1,8,4,"1:1:2 5:2:2 7:1:1 16:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,8,3,"6:1:2 8:2:2 16:0:1",6,1,2,2,2,5,4,"2:2:2 3:1:2 8:1:1 16:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,9,3,"5:1:2 9:2:2 16:0:1",5,1,2,2,2,6,4,"2:1:2 2:2:2 9:1:1 16:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,10,3,"4:1:2 10:2:2 16:0:1",4,1,2,2,1,7,4,"1:1:2 2:2:2 10:1:1 16:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,11,3,"3:1:2 11:2:2 16:0:1",11,2,2,2,2,6,4,"2:1:2 3:1:2 8:1:2 16:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,12,3,"2:1:2 12:2:2 16:0:1",12,2,2,2,2,5,4,"2:1:2 2:1:2 9:1:2 16:0:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",15,1,2,13,3,"1:1:2 13:2:2 16:0:1",16,0,1,2,2,5,4,"1:1:2 2:0:2 13:1:1 13:2:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,1,3,"1:0:2 14:1:2 15:1:2",15,1,2,0,0,25,3,"1:0:1 14:1:2 14:1:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,2,3,"2:0:2 13:1:2 15:1:2",13,1,2,11,1,19,4,"1:1:2 2:0:1 11:2:2 15:1:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,3,3,"3:0:2 12:1:2 15:1:2",12,1,2,10,1,19,4,"1:1:2 3:0:1 10:2:2 15:1:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,4,3,"4:0:2 11:1:2 15:1:2",15,1,2,13,1,16,4,"1:1:2 4:0:1 11:1:2 13:2:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,5,3,"5:0:2 10:1:2 15:1:2",10,1,2,2,2,3,4,"2:2:2 5:0:1 7:1:2 15:1:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,6,3,"6:0:2 9:1:2 15:1:2",9,1,2,7,1,12,4,"1:1:2 6:0:1 7:2:2 15:1:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,7,3,"7:0:2 8:1:2 15:1:2",7,0,2,5,1,9,4,"1:1:2 5:0:2 8:1:2 15:1:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,8,3,"7:1:2 8:0:2 15:1:2",7,1,2,2,2,6,4,"2:2:2 4:1:2 8:0:1 15:1:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,9,3,"6:1:2 9:0:2 15:1:2",6,1,2,2,2,5,4,"2:2:2 3:1:2 9:0:1 15:1:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,10,3,"5:1:2 10:0:2 15:1:2",10,0,2,8,1,7,4,"1:1:2 5:1:2 8:0:2 15:1:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,11,3,"4:1:2 11:0:2 15:1:2",4,1,2,2,1,10,4,"1:1:2 2:2:2 11:0:1 15:1:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,12,3,"3:1:2 12:0:2 15:1:2",15,1,2,2,2,4,4,"2:2:2 3:1:2 12:0:1 12:1:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,13,3,"2:1:2 13:0:2 15:1:2",13,0,2,10,2,9,4,"2:1:2 2:1:2 10:0:2 15:1:2"
WO_PLUS_MO,15,31,"15:1:2 16:0:2",16,0,2,14,3,"1:1:2 14:0:2 15:1:2",15,1,2,13,1,8,4,"1:1:2 1:1:2 13:2:2 14:0:1"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,0,2,"15:1:2 16:1:2",16,1,2,0,0,27,2,"15:1:2 15:1:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,1,3,"1:2:2 14:1:2 16:1:2",14,1,2,12,1,23,4,"1:1:1 1:1:2 12:2:2 16:1:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,2,3,"2:2:2 13:1:2 16:1:2",16,1,2,2,2,1,4,"2:1:1 2:2:2 13:1:2 13:1:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,3,3,"3:2:2 12:1:2 16:1:2",12,1,2,10,1,17,4,"1:1:2 3:1:1 10:2:2 16:1:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,4,3,"4:2:2 11:1:2 16:1:2",16,1,2,2,2,2,4,"2:2:2 4:1:1 11:1:2 13:1:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,5,3,"5:2:2 10:1:2 16:1:2",16,1,2,5,5,1,4,"5:1:1 5:2:2 10:1:2 10:1:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,6,3,"6:2:2 9:1:2 16:1:2",9,1,2,2,2,5,4,"2:2:2 6:1:1 6:1:2 16:1:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,7,3,"7:2:2 8:1:2 16:1:2",16,1,2,7,7,1,4,"7:1:1 7:2:2 8:1:2 8:1:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,8,3,"7:1:2 8:2:2 16:1:2",16,1,2,2,2,3,4,"2:2:2 7:1:2 8:1:1 13:1:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,9,3,"6:1:2 9:2:2 16:1:2",16,1,2,12,3,2,4,"3:1:2 6:1:2 9:1:1 12:2:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,10,3,"5:1:2 10:2:2 16:1:2",16,1,2,2,2,2,4,"2:2:2 5:1:2 10:1:1 13:1:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,11,3,"4:1:2 11:2:2 16:1:2",16,1,2,2,2,4,4,"2:2:2 4:1:2 11:1:1 13:1:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,12,3,"3:1:2 12:2:2 16:1:2",16,1,2,12,3,1,4,"3:1:2 3:1:2 12:1:1 12:2:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,13,3,"2:1:2 13:2:2 16:1:2",16,1,2,2,2,2,4,"2:1:2 2:2:2 13:1:1 13:1:2"
MO_MO,16,32,"16:1:2 16:1:2",16,1,2,14,3,"1:1:2 14:2:2 16:1:2",16,1,2,14,1,1,4,"1:1:2 1:1:2 14:1:1 14:2:2"
OO_MM,16,32,"16:1:1 16:2:2",16,1,1,0,2,"15:2:2 16:1:1",16,1,1,0,0,15,2,"15:1:1 15:2:2"
OO_MM,16,32,"16:1:1 16:2:2",16,1,1,1,3,"1:2:2 14:2:2 16:1:1",14,2,2,1,1,10,4,"1:1:1 1:1:2 12:1:2 16:2:2"
OO_MM,16,32,"16:1:1 16:2:2",16,1,1,2,3,"2:2:2 13:2:2 16:1:1",16,1,1,2,2,1,4,"2:1:1 2:2:2 13:1:1 13:2:2"
OO_MM,16,32,"16:1:1 16:2:2",16,1,1,3,3,"3:2:2 12:2:2 16:1:1",12,2,2,1,1,10,4,"1:1:2 3:1:1 10:1:2 16:2:2"
OO_MM,16,32,"16:1:1 16:2:2",16,1,1,4,3,"4:2:2 11:2:2 16:1:1",16,1,1,2,2,4,4,"2:2:2 4:1:1 11:1:1 13:2:2"
OO_MM,16,32,"16:1:1 16:2:2",16,1,1,5,3,"5:2:2 10:2:2 16:1:1",16,1,1,2,2,2,4,"2:2:2 5:1:1 10:1:1 13:2:2"
OO_MM,16,32,"16:1:1 16:2:2",16,1,1,6,3,"6:2:2 9:2:2 16:1:1",16,1,1,6,6,1,4,"6:1:1 6:2:2 9:1:1 9:2:2"
OO_MM,16,32,"16:1:1 16:2:2",16,1,1,7,3,"7:2:2 8:2:2 16:1:1",16,1,1,2,2,3,4,"2:2:2 7:1:1 8:1:1 13:2:2"
OO_MM,16,32,"16:1:1 16:2:2",16,2,2,1,3,"1:1:2 14:1:2 16:2:2",16,2,2,1,1,1,4,"1:1:2 1:1:2 14:1:2 14:1:2"
OO_MM,16,32,"16:1:1 16:2:2",16,2,2,2,3,"2:1:2 13:1:2 16:2:2",16,2,2,2,2,1,4,"2:1:2 2:1:2 13:1:2 13:1:2"
OO_MM,16,32,"16:1:1 16:2:2",16,2,2,3,3,"3:1:2 12:1:2 16:2:2",12,1,2,2,2,2,4,"2:2:2 3:1:2 9:1:2 16:1:1"
OO_MM,16,32,"16:1:1 16:2:2",16,2,2,4,3,"4:1:2 11:1:2 16:2:2",16,2,2,4,4,1,4,"4:1:2 4:1:2 11:1:2 11:1:2"
OO_MM,16,32,"16:1:1 16:2:2",16,2,2,5,3,"5:1:2 10:1:2 16:2:2",16,2,2,5,5,1,4,"5:1:2 5:1:2 10:1:2 10:1:2"
OO_MM,16,32,"16:1:1 16:2:2",16,2,2,6,3,"6:1:2 9:1:2 16:2:2",6,1,2,2,2,3,4,"2:2:2 3:1:2 9:1:2 16:1:1"
OO_MM,16,32,"16:1:1 16:2:2",16,2,2,7,3,"7:1:2 8:1:2 16:2:2",16,2,2,7,7,1,4,"7:1:2 7:1:2 8:1:2 8:1:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,1,3,"1:0:2 14:2:2 16:1:1",14,2,2,1,1,10,4,"1:0:1 1:1:2 12:1:2 16:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,2,3,"2:0:2 13:2:2 16:1:1",16,1,1,2,2,1,4,"2:0:1 2:2:2 13:1:1 13:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,3,3,"3:0:2 12:2:2 16:1:1",12,2,2,1,1,10,4,"1:1:2 3:0:1 10:1:2 16:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,4,3,"4:0:2 11:2:2 16:1:1",4,0,2,2,1,9,4,"1:1:2 2:0:2 11:1:1 16:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,5,3,"5:0:2 10:2:2 16:1:1",5,0,2,2,2,3,4,"2:0:2 2:1:2 10:1:1 16:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,6,3,"6:0:2 9:2:2 16:1:1",9,2,2,1,1,10,4,"1:1:2 6:0:1 7:1:2 16:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,7,3,"7:0:2 8:2:2 16:1:1",7,0,2,2,2,4,4,"2:0:2 4:1:2 8:1:1 16:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,8,3,"7:2:2 8:0:2 16:1:1",8,0,2,2,2,4,4,"2:0:2 5:1:2 7:1:1 16:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,9,3,"6:2:2 9:0:2 16:1:1",9,0,2,2,2,3,4,"2:0:2 6:1:1 6:1:2 16:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,10,3,"5:2:2 10:0:2 16:1:1",16,1,1,2,2,3,4,"2:2:2 5:1:1 10:0:1 13:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,11,3,"4:2:2 11:0:2 16:1:1",11,0,2,2,2,5,4,"2:0:2 4:1:1 8:1:2 16:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,12,3,"3:2:2 12:0:2 16:1:1",12,0,2,1,1,15,4,"1:0:2 3:1:1 10:1:2 16:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,13,3,"2:2:2 13:0:2 16:1:1",16,1,1,2,2,2,4,"2:1:1 2:2:2 13:0:1 13:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,14,3,"1:2:2 14:0:2 16:1:1",14,0,2,1,1,15,4,"1:0:2 1:1:1 12:1:2 16:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,0,1,15,2,"15:0:2 16:1:1",16,1,1,0,0,21,2,"15:0:1 15:2:2"
OO_WM,16,32,"16:0:1 16:2:2",16,2,2,1,3,"1:1:2 14:1:2 16:0:2",16,0,2,1,1,4,4,"1:0:2 1:1:2 14:1:2 14:1:2"
OO_WM,16,32,"16:0:1 16:2:2",16,2,2,2,3,"2:1:2 13:1:2 16:0:2",13,1,2,2,2,4,4,"2:1:2 2:2:2 10:1:2 16:0:1"
OO_WM,16,32,"16:0:1 16:2:2",16,2,2,3,3,"3:1:2 12:1:2 16:0:2",12,1,2,2,2,5,4,"2:2:2 3:1:2 9:1:2 16:0:1"
OO_WM,16,32,"16:0:1 16:2:2",16,2,2,4,3,"4:1:2 11:1:2 16:0:2",4,1,2,2,1,6,4,"1:1:2 2:2:2 11:1:2 16:0:1"
OO_WM,16,32,"16:0:1 16:2:2",16,2,2,5,3,"5:1:2 10:1:2 16:0:2",5,1,2,2,2,6,4,"2:1:2 2:2:2 10:1:2 16:0:1"
OO_WM,16,32,"16:0:1 16:2:2",16,2,2,6,3,"6:1:2 9:1:2 16:0:2",6,1,2,2,2,7,4,"2:2:2 3:1:2 9:1:2 16:0:1"
OO_WM,16,32,"16:0:1 16:2:2",16,2,2,7,3,"7:1:2 8:1:2 16:0:2",7,1,2,2,2,7,4,"2:2:2 4:1:2 8:1:2 16:0:1"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",16,2,2,1,3,"1:1:2 14:1:2 17:0:2",14,1,2,12,1,12,4,"1:1:2 1:1:2 12:2:2 17:0:1"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",16,2,2,2,3,"2:1:2 13:1:2 17:0:2",13,1,2,11,1,8,4,"1:1:2 2:1:2 11:2:2 17:0:1"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",16,2,2,3,3,"3:1:2 12:1:2 17:0:2",17,0,2,15,1,7,4,"1:1:2 3:1:2 12:1:2 15:0:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",16,2,2,4,3,"4:1:2 11:1:2 17:0:2",4,1,2,2,1,8,4,"1:1:2 2:2:2 11:1:2 17:0:1"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",16,2,2,5,3,"5:1:2 10:1:2 17:0:2",10,1,2,8,1,8,4,"1:1:2 5:1:2 8:2:2 17:0:1"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",16,2,2,6,3,"6:1:2 9:1:2 17:0:2",6,1,2,2,2,5,4,"2:2:2 3:1:2 9:1:2 17:0:1"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",16,2,2,7,3,"7:1:2 8:1:2 17:0:2",7,1,2,5,1,8,4,"1:1:2 5:2:2 8:1:2 17:0:1"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,1,3,"1:0:2 15:2:2 16:1:1",16,1,1,0,0,15,3,"1:0:1 15:1:1 15:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,2,3,"2:0:2 14:2:2 16:1:1",14,2,2,1,1,10,4,"1:1:2 2:0:1 12:1:2 16:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,3,3,"3:0:2 13:2:2 16:1:1",16,1,1,2,2,7,4,"2:2:2 3:0:1 13:1:1 13:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,4,3,"4:0:2 12:2:2 16:1:1",12,2,2,1,1,10,4,"1:1:2 4:0:1 10:1:2 16:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,5,3,"5:0:2 11:2:2 16:1:1",16,1,1,2,2,4,4,"2:2:2 5:0:1 11:1:1 13:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,6,3,"6:0:2 10:2:2 16:1:1",16,1,1,2,2,3,4,"2:2:2 6:0:1 10:1:1 13:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,7,3,"7:0:2 9:2:2 16:1:1",7,0,2,5,1,7,4,"1:1:2 5:0:2 9:1:1 16:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,8,3,"8:0:2 8:2:2 16:1:1",16,1,1,2,2,3,4,"2:2:2 8:0:1 8:1:1 13:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,9,3,"7:2:2 9:0:2 16:1:1",16,1,1,2,2,5,4,"2:2:2 7:1:1 9:0:1 13:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,10,3,"6:2:2 10:0:2 16:1:1",10,0,2,8,1,7,4,"1:1:2 6:1:1 8:0:2 16:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,11,3,"5:2:2 11:0:2 16:1:1",16,1,1,2,2,2,4,"2:2:2 5:1:1 11:0:1 13:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,12,3,"4:2:2 12:0:2 16:1:1",12,0,2,10,1,10,4,"1:1:2 4:1:1 10:0:2 16:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,13,3,"3:2:2 13:0:2 16:1:1",13,0,2,11,1,16,4,"1:1:2 3:1:1 11:0:2 16:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,14,3,"2:2:2 14:0:2 16:1:1",16,1,1,2,2,1,4,"2:1:1 2:2:2 13:2:2 14:0:1"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,15,3,"1:2:2 15:0:2 16:1:1",15,0,2,13,1,18,4,"1:1:1 1:1:2 13:0:2 16:2:2"
OO_WM_PLUS,16,33,"16:2:2 17:0:1",17,0,1,16,2,"16:0:2 16:1:1",16,1,1,0,0,21,2,"15:2:2 16:0:1"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,1,3,"1:0:2 14:1:2 16:1:2",14,1,2,12,1,23,4,"1:0:1 1:1:2 12:2:2 16:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,2,3,"2:0:2 13:1:2 16:1:2",16,1,2,2,2,1,4,"2:0:1 2:2:2 13:1:2 13:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,3,3,"3:0:2 12:1:2 16:1:2",12,1,2,10,1,17,4,"1:1:2 3:0:1 10:2:2 16:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,4,3,"4:0:2 11:1:2 16:1:2",4,0,2,2,1,16,4,"1:1:2 2:0:2 11:1:2 16:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,5,3,"5:0:2 10:1:2 16:1:2",5,0,2,2,2,3,4,"2:0:2 2:1:2 10:1:2 16:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,6,3,"6:0:2 9:1:2 16:1:2",9,1,2,7,1,12,4,"1:1:2 6:0:1 7:2:2 16:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,7,3,"7:0:2 8:1:2 16:1:2",7,0,2,2,2,4,4,"2:0:2 4:1:2 8:1:2 16:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,8,3,"7:1:2 8:0:2 16:1:2",8,0,2,2,2,4,4,"2:0:2 5:1:2 7:1:2 16:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,9,3,"6:1:2 9:0:2 16:1:2",6,1,2,2,2,6,4,"2:2:2 3:1:2 9:0:1 16:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,10,3,"5:1:2 10:0:2 16:1:2",10,0,2,2,2,5,4,"2:0:2 5:1:2 7:1:2 16:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,11,3,"4:1:2 11:0:2 16:1:2",11,0,2,2,2,5,4,"2:0:2 4:1:2 8:1:2 16:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,12,3,"3:1:2 12:0:2 16:1:2",12,0,2,2,2,4,4,"2:0:2 3:1:2 9:1:2 16:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,13,3,"2:1:2 13:0:2 16:1:2",13,0,2,2,2,5,4,"2:0:2 2:1:2 10:1:2 16:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,0,2,14,3,"1:1:2 14:0:2 16:1:2",16,1,2,14,1,6,4,"1:1:2 1:1:2 14:0:1 14:2:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,0,2,"15:1:2 16:0:1",16,0,1,15,0,27,2,"15:0:2 15:1:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,1,3,"1:2:2 14:1:2 16:0:1",14,1,2,12,1,23,4,"1:1:1 1:1:2 12:2:2 16:0:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,2,3,"2:2:2 13:1:2 16:0:1",16,0,1,2,2,2,4,"2:0:2 2:1:1 13:1:2 13:2:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,3,3,"3:2:2 12:1:2 16:0:1",12,1,2,10,1,18,4,"1:1:2 3:1:1 10:2:2 16:0:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,4,3,"4:2:2 11:1:2 16:0:1",11,1,2,9,1,5,4,"1:1:2 4:1:1 9:2:2 16:0:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,5,3,"5:2:2 10:1:2 16:0:1",16,0,1,2,2,3,4,"2:0:2 5:1:1 10:1:2 13:2:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,6,3,"6:2:2 9:1:2 16:0:1",9,1,2,2,2,6,4,"2:2:2 6:1:1 6:1:2 16:0:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,7,3,"7:2:2 8:1:2 16:0:1",8,1,2,2,2,5,4,"2:2:2 5:1:2 7:1:1 16:0:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,8,3,"7:1:2 8:2:2 16:0:1",16,0,1,2,2,4,4,"2:0:2 7:1:2 8:1:1 13:2:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,9,3,"6:1:2 9:2:2 16:0:1",6,1,2,2,2,4,4,"2:2:2 3:1:2 9:1:1 16:0:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,10,3,"5:1:2 10:2:2 16:0:1",5,1,2,2,2,5,4,"2:1:2 2:2:2 10:1:1 16:0:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,11,3,"4:1:2 11:2:2 16:0:1",4,1,2,2,1,6,4,"1:1:2 2:2:2 11:1:1 16:0:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,12,3,"3:1:2 12:2:2 16:0:1",16,0,1,2,2,2,4,"2:0:2 3:1:2 12:1:1 13:2:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,13,3,"2:1:2 13:2:2 16:0:1",16,0,1,2,2,2,4,"2:0:2 2:1:2 13:1:1 13:2:2"
WO_MO,16,32,"16:0:2 16:1:2",16,1,2,14,3,"1:1:2 14:2:2 16:0:1",16,0,1,1,1,2,4,"1:0:2 1:1:2 14:1:1 14:2:2"
WO_PLUS_MO,16,33,"16:1:2 17:0:2",16,1,2,0,2,"15:1:2 17:0:1",17,0,1,16,0,29,2,"15:1:2 16:0:2"
WO_PLUS_MO,16,33,"16:1:2 17:0:2",16,1,2,1,3,"1:2:2 14:1:2 17:0:1",14,1,2,12,1,23,4,"1:1:1 1:1:2 12:2:2 17:0:2"
WO_PLUS_MO,16,33,"16:1:2 17:0:2",16,1,2,2,3,"2:2:2 13:1:2 17:0:1",17,0,1,14,2,1,4,"2:1:1 2:2:2 13:1:2 14:0:2"
WO_PLUS_MO,16,33,"16:1:2 17:0:2",16,1,2,3,3,"3:2:2 12:1:2 17:0:1",12,1,2,10,1,22,4,"1:1:2 3:1:1 10:2:2 17:0:2"
WO_PLUS_MO,16,33,"16:1:2 17:0:2",16,1,2,4,3,"4:2:2 11:1:2 17:0:1",11,1,2,9,1,14,4,"1:1:2 4:1:1 9:2:2 17:0:2"
WO_PLUS_MO,16,33,"16:1:2 17:0:2",16,1,2,5,3,"5:2:2 10:1:2 17:0:1",17,0,1,14,2,2,4,"2:2:2 5:1:1 10:1:2 14:0:2"
WO_PLUS_MO,16,33,"16:1:2 17:0:2",16,1,2,6,3,"6:2:2 9:1:2 17:0:1",9,1,2,7,1,8,4,"1:1:2 6:1:1 7:2:2 17:0:2"
WO_PLUS_MO,16,33,"16:1:2 17:0:2",16,1,2,7,3,"7:2:2 8:1:2 17:0:1",8,1,2,2,2,7,4,"2:2:2 5:1:2 7:1:1 17:0:2"
WO_PLUS_MO,16,33,"16:1:2 17:0:2",16,1,2,8,3,"7:1:2 8:2:2 17:0:1",8,2,2,1,1,6,4,"1:1:2 6:1:2 7:1:2 17:0:2"
WO_PLUS_MO,16,33,"16:1:2 17:0:2",16,1,2,9,3,"6:1:2 9:2:2 17:0:1",9,2,2,1,1,7,4,"1:1:2 6:1:2 7:1:2 17:0:2"
WO_PLUS_MO,16,33,"16:1:2 17:0:2",16,1,2,10,3,"5:1:2 10:2:2 17:0:1",5,1,2,2,2,6,4,"2:1:2 2:2:2 10:1:1 17:0:2"
WO_PLUS_MO,16,33,"16:1:2 17:0:2",16,1,2,11,3,"4:1:2 11:2:2 17:0:1",4,1,2,2,1,8,4,"1:1:2 2:2:2 11:1:1 17:0:2"
